//升级数据表																						
//ID==级别																						
人物等级	升到下一级所需经验值	生命	内力	体力	生命恢复力	内力恢复力	体力恢复力	外功	内功	外防	内防	身法	杀气	气运	冲穴点	悟性	记性	根骨	气血循环当前值	气血循环最大值	资质 	血量等级限制
//.... 																						
· 420																						
1	100 	200	100	100	1	1	1	20	20	10	10	5	50	20	1	0	1	1	20	20	1	50000
2	220 	208	112	104	1	1	1	23	23	11	11	6	50	20	1	0	1	1	20	20	2	50000
3	420 	221	128	108	1	1	1	29	29	16	16	9	50	20	1	0	1	1	20	20	3	50000
4	700 	232	144	112	1	1	1	31	31	18	18	11	50	20	1	0	1	2	20	20	4	50000
5	1060 	248	160	118	1	1	1	35	35	23	23	16	50	20	1	0	2	2	20	20	5	50000
6	1500 	263	176	126	1	1	1	42	42	29	29	20	50	20	1	0	2	2	20	20	6	50000
7	2020 	281	192	134	1	1	1	46	46	31	31	22	50	20	1	0	2	3	20	20	7	50000
8	2620 	291	208	140	1	1	1	49	49	35	35	25	50	20	1	0	2	3	20	20	8	50000
9	3300 	302	224	146	1	1	1	52	52	37	37	27	50	20	1	0	2	3	20	20	9	50000
10	4000 	319	240	156	2	2	2	57	57	42	42	31	50	20	1	0	3	4	20	20	10	50000
11	4200 	339	256	161	2	2	2	62	62	45	45	34	50	20	1	0	3	4	21	21	11	50000
12	4800 	350	272	167	2	2	2	64	64	49	49	36	50	20	1	0	3	4	22	22	12	50000
13	5400 	362	288	171	2	2	2	69	69	51	51	40	50	20	1	0	3	5	23	23	13	50000
14	6100 	373	304	179	2	2	2	72	72	54	54	42	50	20	1	0	3	5	24	24	14	50000
15	6800 	386	320	185	2	2	2	76	76	57	57	44	50	20	1	0	4	5	25	25	15	50000
16	7600 	396	336	191	2	2	2	80	80	60	60	47	50	20	1	0	4	6	26	26	16	50000
17	8500 	410	352	195	2	2	2	84	84	63	63	49	50	20	1	0	4	6	27	27	17	50000
18	9500 	422	368	201	2	2	2	87	87	67	67	52	50	20	1	0	4	6	28	28	18	50000
19	11000 	430	384	209	2	2	2	90	90	69	69	55	50	20	1	0	4	7	29	29	19	50000
20	49137 	449	400	215	3	3	3	96	96	75	75	58	50	20	1	0	5	7	30	30	20	50000
21	58387 	465	416	229	3	3	3	100	100	79	79	60	50	20	1	0	5	7	30	30	21	50000
22	68525 	476	432	235	3	3	3	103	103	83	83	63	50	20	1	0	5	8	30	30	22	50000
23	79558 	485	448	239	3	3	3	109	109	86	86	65	50	20	1	0	5	8	30	30	23	50000
24	91494 	498	464	257	3	3	3	113	113	89	89	69	50	20	1	0	5	8	30	30	24	50000
25	104339 	510	480	263	3	3	3	116	116	93	93	72	50	20	1	0	6	9	30	30	25	50000
26	118097 	529	496	267	3	3	3	119	119	95	95	77	50	20	1	0	6	9	30	30	26	50000
27	132776 	544	512	275	3	3	3	123	123	99	99	79	50	20	1	0	6	9	30	30	27	50000
28	148380 	562	528	285	3	3	3	129	129	102	102	82	50	20	1	0	6	10	30	30	28	50000
29	164914 	573	544	289	3	3	3	133	133	105	105	84	50	20	1	0	6	10	30	30	29	50000
30	182384 	594	560	297	4	4	4	138	138	110	110	88	50	20	1	0	7	10	30	30	30	50000
31	200793 	611	576	305	4	4	4	143	143	114	114	90	50	20	1	0	7	11	30	30	31	50000
32	220145 	625	592	313	4	4	4	148	148	117	117	94	50	20	1	0	7	11	30	30	32	50000
33	240447 	650	608	325	4	4	4	154	154	123	123	97	50	20	1	0	7	11	30	30	33	50000
34	261700 	661	624	339	4	4	4	157	157	127	127	100	50	20	1	0	7	12	30	30	34	50000
35	283909 	681	640	345	4	4	4	164	164	130	130	104	50	20	1	0	8	12	30	30	35	50000
36	307079 	699	656	349	4	4	4	167	167	134	134	107	50	20	1	0	8	12	30	30	36	50000
37	331211 	711	672	373	4	4	4	171	171	137	137	111	50	20	1	0	8	13	30	30	37	50000
38	356311 	729	688	381	4	4	4	176	176	140	140	116	50	20	1	0	8	13	30	30	38	50000
39	382382 	740	704	387	4	4	4	180	180	145	145	120	50	20	1	0	8	13	30	30	39	50000
